      #Energy        TDOS
      -0.39562       0.69720
      -0.35862       0.44270
      -0.32262       0.69600
      -0.28562       1.34400
      -0.24962       1.80500
      -0.21362       1.69900
      -0.17662       1.48100
      -0.14062       1.57900
      -0.10362       1.81200
      -0.06762       1.36500
      -0.03162       0.48610
       0.00538       0.08527
       0.04138       0.09980
       0.07838       0.32750
       0.11438       0.50240
       0.15038       0.41110
       0.18738       0.27270
       0.22338       0.32320
       0.26038       0.37840
       0.29638       0.48400
       0.33338       1.23600
       0.36938       2.59000
       0.40538       3.25500
       0.44238       2.83500
       0.47838       2.23500
       0.51538       1.91100
       0.55138       1.93400
       0.58738       2.29400
       0.62438       2.91300
       0.66038       3.69800
       0.69738       4.21300
       0.73338       4.60600
       0.76938       4.55200
       0.80638       4.41700
       0.84238       4.90300
       0.87938       5.10600
       0.91538       3.90900
       0.95138       2.21300
       0.98838       1.48200
       1.02438       1.22700
       1.06138       1.07400
       1.09738       1.07600
       1.13438       1.23800
       1.17038       1.73600
       1.20638       2.69800
       1.24338       3.22700
       1.27938       2.92000
       1.31638       2.96600
       1.35238       3.21900
       1.38838       3.24100
       1.42538       3.18100
       1.46138       2.65700
       1.49838       1.78700
       1.53438       1.47800
       1.57038       1.63100
       1.60738       1.60400
       1.64338       1.55800
       1.68038       1.77300
       1.71638       2.13700
       1.75238       2.36100
       1.78938       2.63100
       1.82538       2.88200
       1.86238       2.55900
       1.89838       1.83800
       1.93538       1.50700
       1.97138       1.69600
       2.00738       1.74900
       2.04438       1.39300
       2.08038       1.17600
       2.11738       1.39400
       2.15338       1.42700
       2.18938       1.25000
       2.22638       1.21900
       2.26238       1.34300
       2.29938       1.55000
       2.33538       1.94700
       2.37138       2.26000
       2.40838       1.79900
       2.44438       1.04000
       2.48138       0.91240
       2.51738       1.03200
       2.55338       1.04900
       2.59038       1.20600
       2.62638       1.61700
       2.66338       2.08900
       2.69938       1.92500
       2.73638       1.08100
       2.77238       0.49220
       2.80838       0.35730
       2.84538       0.47810
       2.88138       0.77510
       2.91838       1.14500
       2.95438       1.53200
       2.99038       1.65900
       3.02738       1.44800
       3.06338       1.14800
       3.10038       0.93550
       3.13638       0.83000
       3.17238       0.73520
       3.20938       0.76530
       3.24538       0.81580
       3.28238       0.84490
       3.31838       0.85010
       3.35438       0.86650
       3.39138       1.05500
       3.42738       1.33200
       3.46438       1.45900
