doping,sigma_xx,sigma_yy,sigma_zz,S_xx,S_yy,S_zz,kappa_e_xx,kappa_e_yy,kappa_e_zz,mu_overall_xx,mu_overall_yy,mu_overall_zz,mu_IMP_xx,mu_IMP_yy,mu_IMP_zz,mu_ADP_xx,mu_ADP_yy,mu_ADP_zz,mu_POP_xx,mu_POP_yy,mu_POP_zz
4.216965034285822e+17,6108.261217980198,5921.5655581235505,10312.523401418328,408.3620555895089,403.9546167078153,415.04819101821545,0.24259643717774615,0.23090421800327315,0.3849257058357063,778.7019388635058,754.7672489801407,1320.262060391143,30725.315784122475,30548.45503927822,50504.53955741935,5519.624996973303,4818.59205034915,11039.513212266364,1046.1720843846438,1070.1656161212916,1708.2073016013062
4.6415888336127904e+17,6541.829252049834,6341.539967998745,11059.03909358472,412.6847990251253,408.21566960775874,418.56823686079457,0.23071268908092774,0.21940262834266933,0.3666321025565007,775.4330548052703,751.5782054874082,1315.6297859414256,28836.144400342433,28644.21085148883,47525.38800365761,5516.285924166361,4815.668593600954,11034.83089214782,1045.8168036200816,1069.807478890029,1707.8140332532587
5.108969774506913e+17,7028.285125485052,6812.759393694847,11895.93428772829,415.53127068943735,411.00677351787186,420.6843207934589,0.2197297070959775,0.20875169989590286,0.34982754707967545,772.1392972569429,748.3653464184345,1310.9262921380075,27111.454033259317,26914.74275547895,44791.93575806283,5512.579180927362,4812.42270300124,11029.629957830219,1045.4235775713628,1069.4110789025092,1707.3787700531725
5.6234132519034906e+17,7572.176021657382,7339.624780972021,12831.06684845705,416.9995175208461,412.42551081099003,421.4941547718086,0.20978077771415526,0.199077989749252,0.33471970462179235,768.818165299186,745.1260608869858,1306.146717520352,25530.8762382621,25336.921044123348,42274.31364474577,5508.470767823951,4808.8244307660125,11023.861699852328,1044.989183028161,1068.9731627286542,1706.8979439988916
6.189658188912621e+17,8178.382993274656,7926.85927745669,13872.877213065785,417.20529112191844,412.58710265542146,421.11093878909367,0.20097391766221262,0.19048373447808675,0.32147761805241803,765.4659919661697,741.8565855108718,1301.284449342644,24076.751348824248,23890.93220251044,39946.65316584841,5503.92390346537,4804.841349327145,11017.473256872714,1044.5101939245,1068.4902713646152,1706.3677612285376
6.812920690579593e+17,8852.172913568646,8579.558305192302,15030.475245538992,416.27358779176996,411.61598352042074,419.6555140702138,0.19339401325882322,0.1830488916431977,0.31023531901816503,762.0782799153314,738.5523318689617,1296.3315530821858,22733.871161755585,22559.90464866327,37786.69459238373,5498.898728926141,4800.4382830936665,11010.40714793249,1043.9829686056794,1067.958727150755,1705.7841871706985
7.498942093324557e+17,9599.249549345546,9303.238702951106,16313.725411396334,414.3316300120558,409.6388107888253,417.24992441332756,0.18710621277026207,0.176834382095439,0.30109728210601205,758.6500210971731,735.2081974989409,1291.27919619326,21489.214281970904,21329.542699644244,35775.39098091149,5493.352028765361,4795.57705278757,11002.60081733682,1043.4036423561965,1067.3746259384675,1705.1429372561788
8.254041852680207e+17,10425.809847566981,10103.892822067703,17733.340741894666,411.50349773563613,406.77911691926056,414.0125413209434,0.18215989980625003,0.17188588703457064,0.29414470346660737,755.1759475128671,731.8188089674551,1286.1179879559197,20331.67246959031,20187.768657352466,33896.50138340483,5487.236921772913,4790.216190912266,10993.98612382161,1042.7681207540707,1066.7338300208469,1704.4394681212889
9.085175756516841e+17,11338.603261820295,10988.04544979892,19300.981801848797,407.90634918110277,403.15354458983927,410.0546761664674,0.17859285427632332,0.16823782296326895,0.28944201594230945,751.650724734001,728.3787085410027,1280.8382493037986,19251.788590131135,19124.392775420678,32136.20309553498,5480.502541007443,4784.310645010601,10984.488799658515,1042.0720766820486,1066.0319646685684,1703.6689724364571
1e+18,12344.986607747025,11962.80626082817,21029.347682175427,403.64807133536857,398.8695061316969,405.47852053791325,0.17643529402464964,0.16591720215750927,0.2870431790186736,748.0691175839032,724.8825132859997,1275.4302540720996,18241.521624985817,18130.824424055376,30482.746032126233,5473.093760087299,4777.811518134881,10974.027956146929,1041.3109574007628,1065.2644247062628,1702.8263841197108
1.1006941712522126e+18,13452.988474366566,13035.931355139734,22932.282997377748,398.826040722102,394.0239484524636,400.3760996868754,0.17571352769212867,0.16494711684747632,0.2869973552090088,744.4260785293043,721.3249984618085,1269.8843652293378,17294.025422581388,17199.809026988332,28926.126290279703,5464.95086884178,4770.665760947602,10962.515496638518,1040.4799924857823,1064.4263818370493,1701.9063837245362
1.211527658628585e+18,14671.369164577196,14215.880260624685,25024.876667207453,393.52676782188405,388.70299844340764,394.8290350295713,0.17645318928616383,0.16534982236427542,0.28935392659819104,740.7168240488278,717.7011689815118,1264.1911611014093,16403.461223024613,16325.208223456335,27457.810899237804,5456.009307812368,4762.81591073899,10949.855587322916,1039.574214636454,1063.51280479466,1700.90341699081
1.3335214321633236e+18,16009.690008718913,15511.881766740235,27323.57611452475,387.8261168247423,382.98218118802646,388.90882058205136,0.17868199973073629,0.16714936335482733,0.294166787103471,736.9368591568382,714.0062801257367,1258.3414894782986,15564.829856337585,15501.807320448726,26070.49060382597,5446.1993671335085,4754.199793646866,10935.944047856496,1038.5884843689012,1062.5184832260761,1699.8117162842889
1.4677992676220736e+18,17478.38348729977,16934.00024244861,29846.30201795619,381.7899284067087,376.92703972984185,382.6774604440585,0.18243210566634116,0.17037379340881098,0.3014979843260739,733.0819912190252,710.2358476915696,1252.3265100582464,14773.83164689712,14725.156198363082,24757.874014110836,5435.445922845125,4744.75025316738,10920.667760495124,1037.51752692832,1061.43806367281,1698.6253338924498
1.6155980984398692e+18,19088.824081898376,18493.202299152093,32612.563318193745,375.474882833669,370.59399428872024,376.18831767217296,0.18774202462147183,0.17505701601037238,0.3114207568946714,729.1483365470488,706.3856510255554,1246.1377301272125,14026.749809202605,13991.43811274874,23514.51664622841,5423.66822049939,4734.394912552842,10903.904105941758,1036.3559828846007,1060.2660990791755,1697.338188307625
1.7782794100389225e+18,20853.40789542978,20201.431510311966,35643.58612623865,368.92944996547504,364.0312878748273,369.48703104326864,0.19465828064654933,0.18124032531952716,0.32402210555270505,725.132304867949,702.451714361556,1239.76700934313,13320.350609017207,13297.35867505786,22335.67416918611,5410.779659104572,4723.055928568386,10885.520353280503,1035.0984682613805,1058.9971075855703,1695.9441184725897
1.9573417814876657e+18,22785.63799832567,22071.68814856197,38962.45114364868,362.1948602247004,357.27995277138166,362.6124427951979,0.2032368016032562,0.18897371565966714,0.33940500412301144,721.0305780660731,698.4302824581031,1233.206558093928,12651.800841318447,12640.054683467764,21217.181232806517,5396.687610482448,4710.649765930942,10865.373046494302,1033.739648095771,1057.62564446873,1694.4369497632945
2.154434690031878e+18,24900.20737528086,24118.105967698742,42594.22548025444,355.30607076528656,350.37477239921856,355.59751769398997,0.21354409601551327,0.19831697875908816,0.3576902672902471,716.8401026514324,694.3178095987909,1226.4489604919913,12018.60238233138,12017.02190224712,20155.35601345448,5381.293347013798,4697.087055090645,10843.307484312747,1032.2743303718964,1056.1463941564587,1692.8105788245502
2.371373705661655e+18,27213.10303378308,26356.0487040508,46566.129191939996,348.2926141872864,343.3451258473547,348.4701429395834,0.2256583683818092,0.2093407348582197,0.3790183448934581,712.5580489526446,690.1109158409338,1219.4871466259099,11418.533579393781,11426.051219511777,19146.913815452146,5364.4919209942955,4682.272393561731,10819.157060943078,1030.6975647169395,1054.5542664655522,1691.0590593519325
2.6101572156825436e+18,29741.69926695673,28802.195160467614,50907.68143509548,341.17942426616884,336.21580989090853,341.2539080120542,0.2396704730889978,0.22212730978778583,0.4035508513021995,708.1818059572086,685.8063780669928,1212.3144244983248,10849.606321151776,10865.181496591687,18188.904946299856,5346.172245541956,4666.1043089901705,10792.7428168877,1029.0047687830913,1052.8445200924814,1689.1767137547802
